ano,mes,estado,preco_medio
2023,9,AM,118.29
2023,9,AP,111.97
2023,9,BA,103.87
2023,9,CE,99.97
2023,9,DF,93.13
2023,9,ES,94.88
2023,9,GO,101.92
2023,9,MA,103.81
2023,9,MG,101.69
2023,9,MS,110.17
2023,9,MT,114.96
2023,9,PA,106.95
2023,9,PB,100.42
2023,9,PE,90.42
2023,9,PI,99.84
2023,9,PR,99.65
2023,9,RJ,93.93
2023,9,RN,100.74
2023,9,RO,118.10
2023,9,RR,124.58
2023,9,RS,104.48
2023,9,SC,113.75
2023,9,SE,98.77
2023,9,SP,100.07
2023,9,TO,117.49
2023,10,AC,114.40
2023,10,AL,93.64
2023,10,AM,121.32
2023,10,AP,111.34
2023,10,BA,105.63
2023,10,CE,99.81
2023,10,DF,94.55
2023,10,ES,96.12
2023,10,GO,101.41
2023,10,MA,104.29
2023,10,MG,101.58
2023,10,MS,111.32
2023,10,MT,112.86
2023,10,PA,107.39
2023,10,PB,101.55
2023,10,PE,90.54
2023,10,PI,98.99
2023,10,PR,100.11
2023,10,RJ,95.01
2023,10,RN,101.65
2023,10,RO,119.47
2023,10,RR,126.71
2023,10,RS,105.62
2023,10,SC,114.58
2023,10,SE,99.02
2023,10,SP,100.19
2023,10,TO,118.04
2023,11,AC,115.09
2023,11,AL,92.87
2023,11,AM,126.75
2023,11,AP,108.89
2023,11,BA,104.96
2023,11,CE,99.86
2023,11,DF,94.41
2023,11,ES,95.89
2023,11,GO,101.41
2023,11,MA,103.17
2023,11,MG,101.16
2023,11,MS,110.59
2023,11,MT,114.03
2023,11,PA,106.83
2023,11,PB,102.56
2023,11,PE,89.64
2023,11,PI,98.42
2023,11,PR,99.16
2023,11,RJ,93.59
2023,11,RN,101.55
2023,11,RO,124.03
2023,11,RR,131.66
2023,11,RS,104.70
2023,11,SC,114.03
2023,11,SE,97.53
2023,11,SP,99.59
2023,11,TO,118.64
2023,12,AC,115.56
2023,12,AL,91.90
2023,12,AM,125.84
2023,12,AP,109.59
2023,12,BA,105.10
2023,12,CE,99.20
2023,12,DF,93.65
2023,12,ES,96.12
2023,12,GO,101.33
2023,12,MA,104.71
2023,12,MG,100.20
2023,12,MS,111.59
2023,12,MT,113.88
2023,12,PA,106.66
2023,12,PB,102.43
2023,12,PE,89.71
2023,12,PI,97.89
2023,12,PR,98.00
2023,12,RJ,92.50
2023,12,RN,101.05
2023,12,RO,119.50
2023,12,RR,130.84
2023,12,RS,104.16
2023,12,SC,112.92
2023,12,SE,97.16
2023,12,SP,99.41
2023,12,TO,118.36
2024,1,AC,115.57
2024,1,AL,92.16
2024,1,AM,123.91
2024,1,AP,111.05
2024,1,BA,106.58
2024,1,CE,99.31
2024,1,DF,93.24
2024,1,ES,96.24
2024,1,GO,101.30
2024,1,MA,103.65
2024,1,MG,99.74
2024,1,MS,111.50
2024,1,MT,114.86
2024,1,PA,107.21
2024,1,PB,102.76
2024,1,PE,89.17
2024,1,PI,96.44
2024,1,PR,97.97
2024,1,RJ,91.53
2024,1,RN,101.97
