ano,mes,estado,desvio_padrao
2025,9,SP,10.29
2025,9,TO,5.57
2025,10,AC,5.72
2025,10,AL,6.58
2025,10,AM,5.45
2025,10,AP,7.83
2025,10,BA,14.92
2025,10,CE,7.56
2025,10,DF,5.36
2025,10,ES,7.95
2025,10,GO,9.38
2025,10,MA,4.33
2025,10,MG,10.42
2025,10,MS,9.50
2025,10,MT,12.52
2025,10,PA,11.07
2025,10,PB,6.58
2025,10,PE,8.53
2025,10,PI,5.18
2025,10,PR,8.02
2025,10,RJ,8.63
2025,10,RN,8.29
2025,10,RO,6.73
2025,10,RR,7.30
2025,10,RS,8.15
2025,10,SC,10.35
2025,10,SE,4.63
2025,10,SP,10.49
2025,10,TO,5.04
2025,11,AC,5.44
2025,11,AL,6.38
2025,11,AM,5.53
2025,11,AP,7.84
2025,11,BA,13.24
2025,11,CE,7.25
2025,11,DF,5.22
2025,11,ES,7.44
2025,11,GO,9.53
2025,11,MA,5.04
2025,11,MG,10.88
2025,11,MS,10.50
2025,11,MT,12.62
2025,11,PA,11.83
2025,11,PB,4.92
2025,11,PE,8.39
2025,11,PI,7.05
2025,11,PR,8.53
2025,11,RJ,8.86
2025,11,RN,8.60
2025,11,RO,7.14
2025,11,RR,7.19
2025,11,RS,8.14
2025,11,SC,11.04
2025,11,SE,3.62
2025,11,SP,10.47
2025,11,TO,5.33
2025,12,AC,5.55
2025,12,AL,6.22
2025,12,AM,5.56
2025,12,AP,7.69
2025,12,BA,13.13
2025,12,CE,6.44
2025,12,DF,5.76
2025,12,ES,7.50
2025,12,GO,9.88
2025,12,MA,5.31
2025,12,MG,11.26
2025,12,MS,11.25
2025,12,MT,12.79
2025,12,PA,12.30
2025,12,PB,5.72
2025,12,PE,9.29
2025,12,PI,7.64
2025,12,PR,8.33
2025,12,RJ,11.66
2025,12,RN,9.36
2025,12,RO,9.34
2025,12,RR,7.18
2025,12,RS,8.85
2025,12,SC,10.78
2025,12,SE,3.03
2025,12,SP,10.71
2025,12,TO,5.48
